"Author","Article","weight"
"1338678","1472552",1
"1338679","1472552",1
"133968","1573385",1
"1339908","1518131",1
"1340072","1601164",1
"1340074","1478305",1
"1340074","1674245",1
"1340075","1567834",1
"1340076","1569988",1
"1340076","1601165",1
"1340273","1690454",1
"1340539","1485694",1
"1342326","1475968",1
"1342618","1650607",1
"1343099","1476518",1
"1343101","1476518",1
"1343306","1646817",1
"1343306","1648412",1
"1343306","1723034",1
"1343306","1723036",1
"1343708","1693867",1
"1343880","1477263",1
"1344688","1571031",1
"1346047","1695371",1
"1346165","1648304",1
"1346247","1477293",1
"1347779","1551867",1
"1347915","1070293",1
"1348398","1547784",1
"1348933","1481597",1
"1348934","1481597",1
"1350219","1479936",1
"1350221","1479936",1
"1350222","1479936",1
"1350449","1483012",1
"1351256","1539227",1
"1351763","1484316",1
"1351918","1488085",1
"1352236","1612404",1
"1352236","1612408",2
"1353449","1554451",1
"1353821","1493092",1
"1354047","1486392",1
"1354064","1661713",1
"1355864","1488559",1
"1356600","1475042",1
"1356853","1488744",1
"1356858","1549669",1
"1357807","1498524",1
"135788","1472370",1
"1358252","1576823",1
"1358261","1668423",1
"1360087","1575966",1
"1363972","1643882",1
"1367392","1491208",1
"136813","1555722",2
"1368703","1492652",1
"1368761","1492652",1
"1369709","1520105",1
"1369890","1475042",1
"1370200","1635230",1
"1371012","1520105",1
"1372064","1495227",1
"1373849","1496680",1
"1374175","1507291",2
"1374175","1542897",2
"1374175","1581533",2
"1374175","1666198",2
"1374175","1670930",1
"1374175","1673850",1
"1374175","1677965",1
"1374713","1497645",1
"1374716","1497645",1
"1376064","1684382",1
"1376239","1475042",1
"1376275","1298492",1
"1376789","1562028",1
"1376789","1564609",1
"1376789","1564761",1
"1376789","1565482",1
"1377721","1612379",1
"1380731","1538571",1
"1380731","1652145",1
"1380768","1513969",1
"1380768","1518303",1
"138257","1542181",2
"1382864","1580682",1
"1383733","1505118",1
"1385455","1548760",1
"1385455","1548763",1
"1385456","1548760",1
"1385456","1548763",1
"1386956","1666892",1
"1386956","1708485",1
"1388190","1508835",1
"1388194","1508840",1
"1388403","1546904",1
"1390342","1510806",1
"1390342","1548450",1
"1390342","1548464",1
"1390660","1548760",1
"1390660","1548763",1
"1390702","1556439",1
"1390702","1692986",1
"1390702","1720746",1
"1390853","1543482",1
"1390919","1526872",3
"1391271","1549606",2
"1392075","1512480",1
"1392075","1600216",1
"1392075","1650592",1
"1392210","1508840",1
"1393871","1514265",1
"1394221","1513969",1
"1396199","1575350",1
"1396421","1615693",1
"1397131","1516048",2
"1397131","1517405",2
"1397131","1517896",1
"1397131","1517919",2
"1397131","1517930",1
"1397131","1518965",2
"1397131","1522882",2
"1397131","1522927",2
"1397131","1525149",2
"1397131","1529051",1
"1397131","1552861",2
"1397131","1570354",2
"1397131","1574330",2
"1397212","1516581",1
"1397212","1642577",1
"1397212","1644398",1
"1397212","1676551",1
"1397212","1676553",1
"1397212","1676555",1
"1397644","1525013",1
"1397644","1540624",1
"1399058","1360981",1
"1399257","1546057",1
"1399600","1522367",1
"1400552","1545103",2
"1400761","1730708",1
"1400814","1521111",1
